,University,Games,Attendance,Average,Year
1961,Hillsdale,6,9479,1580,2008
1962,Colorado Mines,6,9145,1524,2008
1963,Bemidji St,5,7579,1516,2008
1964,Mercyhurst,5,7272,1454,2008
1965,Lock Haven,5,7235,1447,2008
1966,Lane,5,7028,1406,2008
1967,Southwest Baptist,6,8356,1393,2008
1968,Wayne St (Neb),5,6804,1361,2008
1969,Minn St Moorhead,5,6697,1339,2008
1970,Findlay,5,6053,1211,2008
1971,CW Post,6,7176,1196,2008
1972,Pace,5,5735,1147,2008
1973,West Virginia St,5,5666,1133,2008
1974,Cheyney,6,6448,1075,2008
1975,Upper Iowa,5,5366,1073,2008
1976,Tiffin,6,6242,1040,2008
1977,Ky Wesleyan,5,5025,1005,2008
1978,St John's (Minn),6,46161,7694,2008
1979,Wis-Whitewater,7,37710,5387,2008
1980,Mississippi Col,4,19911,4978,2008
1981,Wabash,6,28288,4715,2008
1982,McDaniel,4,18174,4544,2008
1983,Baldwin-Wallace,5,22249,4450,2008
1984,Hampden-Sydney,5,21183,4237,2008
1985,Maryville (Tenn),5,20594,4119,2008
1986,Concordia-M'head,5,19782,3956,2008
1987,St Olaf,5,19184,3837,2008
1988,Mount Union,9,34131,3792,2008
1989,Trinity (Conn),4,15046,3762,2008
1990,Pomona-Pitzer,4,14570,3643,2008
1991,Chris Newport,4,14170,3543,2008
1992,St Thomas (Minn),5,17711,3542,2008
1993,Grove City,5,17700,3540,2008
1994,Wartburg,5,17000,3400,2008
1995,Coe,5,16884,3377,2008
1996,Mary Hardin-Baylor,9,30185,3354,2008
1997,Wheaton (Ill),5,16687,3337,2008
1998,Bethel (Minn),5,16503,3301,2008
1999,Gust Adolphus,4,12693,3173,2008
2000,Otterbein,7,21959,3137,2008
2001,Wooster,5,15670,3134,2008
2002,Carleton,5,15427,3085,2008
2003,Wittenberg,5,15267,3053,2008
2004,Widener,4,12190,3048,2008
2005,Anderson (Ind),5,15000,3000,2008
2006,Cortland St,7,20847,2978,2008
2007,Franklin,6,17579,2930,2008
2008,Hope,5,14630,2926,2008
2009,Trine,5,14407,2881,2008
2010,Hardin-Simmons,5,14349,2870,2008
2011,Wis-Eau Claire,5,13999,2800,2008
2012,Susquehanna,5,13496,2699,2008
2013,Rensselaer,5,13412,2682,2008
2014,Catholic,5,13393,2679,2008
2015,Luther,5,13205,2641,2008
2016,Buena Vista,6,15800,2633,2008
2017,LaGrange,5,12975,2595,2008
2018,Gettysburg,5,12974,2595,2008
2019,East Tex Baptist,4,10265,2566,2008
2020,Puget Sound,5,12695,2539,2008
2021,Linfield,5,12635,2527,2008
2022,Wesleyan (Conn),4,10100,2525,2008
2023,Dickinson,5,12550,2510,2008
2024,Wesley,3,7487,2496,2008
2025,Alfred,5,12355,2471,2008
2026,Hanover,4,9822,2456,2008
2027,Pacific Lutheran,5,12258,2452,2008
2028,Louisiana Col,5,12222,2444,2008
2029,Amherst,4,9677,2419,2008
2030,Thomas More,6,14457,2410,2008
2031,Loras,5,11773,2355,2008
2032,Albion,6,14108,2351,2008
2033,Capital,5,11688,2338,2008
2034,John Carroll,5,11647,2329,2008
2035,Millikin,5,11600,2320,2008
2036,Maritime (NY),6,13815,2303,2008
2037,Denison,5,11450,2290,2008
2038,Wis-Stout,6,13460,2243,2008
2039,Chapman,4,8935,2234,2008
2040,Adrian,5,11121,2224,2008
2041,Westminster (Pa),5,11076,2215,2008
2042,Trinity (Tex),5,10956,2191,2008
2043,FDU-Florham,6,13050,2175,2008
2044,Sul Ross St,6,13013,2169,2008
2045,Lycoming,5,10793,2159,2008
2046,Muskingum,5,10701,2140,2008
2047,Coast Guard,4,8500,2125,2008
2048,Middlebury,4,8480,2120,2008
2049,Union (NY),4,8440,2110,2008
2050,Salisbury,4,8405,2101,2008
2051,Brockport St,5,10500,2100,2008
2052,Dubuque,5,10444,2089,2008
2053,Muhlenberg,6,12497,2083,2008
2054,North Central (Ill),7,14542,2077,2008
2055,Simpson,5,10300,2060,2008
2056,Huntingdon,5,10245,2049,2008
2057,Plymouth St,5,10000,2000,2008
2058,Elmhurst,6,11853,1976,2008
2059,Utica,5,9831,1966,2008
2060,Wilmington (Ohio),4,7857,1964,2008
2061,Rowan,5,9740,1948,2008
2062,Norwich,4,7766,1942,2008
2063,Ohio Northern,5,9689,1938,2008
2064,Willamette,7,13368,1910,2008
2065,St John Fisher,5,9500,1900,2008
2066,Tufts,4,7600,1900,2008
2067,Whitworth,4,7600,1900,2008
2068,Monmouth (Ill),7,13273,1896,2008
2069,Rochester (NY),5,9374,1875,2008
2070,Wis-Stevens Point,7,13088,1870,2008
2071,Wis-Platteville,5,9306,1861,2008
2072,Texas Lutheran,5,9197,1839,2008
2073,TCNJ,5,9100,1820,2008
2074,Bridgewater (Va),5,9089,1818,2008
2075,Ferrum,5,9000,1800,2008
2076,King's (Pa),6,10684,1781,2008
2077,Moravian,6,10677,1780,2008
2078,Bates,4,7100,1775,2008
2079,Howard Payne,5,8767,1753,2008
2080,Ursinus,5,8635,1727,2008
2081,Wis-Oshkosh,4,6901,1725,2008
2082,WPI,5,8621,1724,2008
2083,Rose-Hulman,5,8550,1710,2008
2084,Oberlin,5,8535,1707,2008
2085,Delaware Valley,7,11900,1700,2008
2086,DePauw,5,8500,1700,2008
2087,Mt St Joseph,5,8440,1688,2008
2088,Hamilton,4,6728,1682,2008
2089,Guilford,5,8400,1680,2008
2090,Ill Wesleyan,5,8300,1660,2008
2091,Wm Paterson,5,8300,1660,2008
2092,Colby,4,6600,1650,2008
2093,Lebanon Valley,5,8230,1646,2008
2094,Carnegie Mellon,5,8189,1638,2008
2095,Millsaps,7,11397,1628,2008
2096,Wis-La Crosse,4,6460,1615,2008
2097,Ohio Wesleyan,5,8027,1605,2008
2098,Central (Iowa),5,8000,1600,2008
2099,Montclair St,6,9552,1592,2008
2100,Centre,5,7931,1586,2008
2101,St Vincent,5,7742,1548,2008
2102,St Norbert,5,7736,1547,2008
2103,Frostburg St,4,6145,1536,2008
2104,Redlands,6,9191,1532,2008
2105,North Park,5,7465,1493,2008
2106,Manchester,4,5875,1469,2008
2107,Bowdoin,4,5839,1460,2008
2108,Salve Regina,5,7271,1454,2008
2109,Curry,5,7257,1451,2008
2110,Shenandoah,5,7218,1444,2008
2111,Heidelberg,5,7121,1424,2008
2112,Allegheny,5,7045,1409,2008
2113,Sewanee,5,6999,1400,2008
2114,Waynesburg,5,6975,1395,2008
2115,Kean,5,6868,1374,2008
2116,Alma,6,8205,1368,2008
2117,Earlham,4,5466,1367,2008
2118,Rhodes,5,6791,1358,2008
2119,Hamline,5,6718,1344,2008
2120,Springfield,5,6669,1334,2008
2121,Whittier,5,6638,1328,2008
2122,Illinois Col,5,6572,1314,2008
2123,St Scholastica,4,5230,1308,2008
2124,Cal Lutheran,5,6504,1301,2008
2125,Defiance,5,6465,1293,2008
2126,Wis-River Falls,5,6442,1288,2008
2127,Bethany (WV),5,6426,1285,2008
2128,Case,6,7630,1272,2008
2129,McMurry,4,5000,1250,2008
2130,Carthage,5,6150,1230,2008
2131,Chicago,4,4915,1229,2008
2132,Mass-Dartmouth,5,6050,1210,2008
2133,Thiel,5,5867,1173,2008
2134,Occidental,4,4687,1172,2008
2135,Augsburg,4,4672,1168,2008
2136,Husson,4,4650,1163,2008
2137,Williams,4,4629,1157,2008
2138,Austin,5,5700,1140,2008
2139,Augustana (Ill),5,5667,1133,2008
2140,Western New Eng,5,5590,1118,2008
2141,Bridgewater St,6,6600,1100,2008
2142,Lawrence,6,6555,1093,2008
2143,Methodist,5,5368,1074,2008
2144,Randolph-Macon,5,5331,1066,2008
2145,Minn-Morris,4,4220,1055,2008
2146,Greenville,3,3000,1000,2008
2147,Western Ky,5,83483,16697,2008
2148,Central Ark,7,74631,10662,2008
2149,North Dakota,5,50837,10167,2008
2150,NC Central,4,30799,7700,2008
2151,South Dakota,5,38225,7645,2008
2152,Winston-Salem,6,30118,5020,2008
2153,Presbyterian,6,29858,4976,2008
2154,Bryant,5,17788,3558,2008
2155,Lincoln (Pa),4,8306,2077,2008
2156,Birmingham-So,5,9883,1977,2008
2157,Lake Erie,6,8230,1372,2008
2158,Michigan,8,871464,108933,2009
2159,Penn St,8,856066,107008,2009
2160,Ohio St,7,736830,105261,2009
2161,Texas,6,607049,101175,2009
2162,Tennessee,8,793760,99220,2009
2163,Georgia,6,556476,92746,2009
2164,LSU,7,647420,92489,2009
2165,Alabama,7,644084,92012,2009
2166,Florida,7,634446,90635,2009
2167,Nebraska,7,601216,85888,2009
2168,Southern California,6,508796,84799,2009
2169,Oklahoma,6,508670,84778,2009
2170,Auburn,8,676911,84614,2009
2171,Notre Dame,7,565565,80795,2009
2172,Wisconsin,7,560764,80109,2009
2173,Clemson,7,530553,75793,2009
2174,South Carolina,7,527580,75369,2009
2175,Michigan St,7,523186,74741,2009
2176,Florida St,6,446067,74345,2009
2177,Iowa,7,491499,70214,2009
2178,Kentucky,7,487156,69594,2009
2179,Virginia Tech,6,397398,66233,2009
2180,Arkansas,7,455783,65112,2009
2181,UCLA,6,387283,64547,2009
2182,Washington,7,450491,64356,2009
2183,BYU,6,385416,64236,2009
2184,Missouri,6,384719,64120,2009
2185,Illinois,6,357267,59545,2009
2186,California,6,356830,59472,2009
2187,Montana,9,219753,24417,2009
2188,Appalachian St,7,168029,24004,2009
2189,Yale,5,106226,21245,2009
2190,Delaware,6,124497,20750,2009
2191,Old Dominion,7,138474,19782,2009
2192,South Carolina St,5,85134,17027,2009
2193,Ga Southern,5,83641,16728,2009
2194,North Dakota St,5,82577,16515,2009
2195,Jackson St,6,98006,16334,2009
2196,James Madison,5,76527,15305,2009
2197,Liberty,6,89587,14931,2009
2198,Tennessee St,4,57849,14462,2009
2199,Youngstown St,5,70272,14054,2009
2200,Southern U,5,69087,13817,2009
2201,Montana St,6,79696,13283,2009
2202,South Dakota St,5,66327,13265,2009
2203,Citadel,5,65147,13029,2009
2204,UNI,6,77814,12969,2009
2205,McNeese St,7,90634,12948,2009
2206,Texas St,6,74930,12488,2009
2207,Jacksonville St,4,46007,11502,2009
2208,Ark-Pine Bluff,4,44447,11112,2009
2209,Stephen F Austin,6,66664,11111,2009
2210,Furman,5,54864,10973,2009
2211,Norfolk St,7,76649,10950,2009
2212,Massachusetts,6,65322,10887,2009
2213,Harvard,5,53505,10701,2009
2214,Penn,5,53002,10600,2009
2215,Tuskegee,3,43658,14553,2009
2216,Miles,5,68749,13750,2009
2217,Grand Valley St,7,69700,9957,2009
2218,North Ala,8,75115,9389,2009
2219,Abilene Christian,6,54371,9062,2009
2220,Morehouse,5,44094,8819,2009
2221,Fort Valley St,3,23762,7921,2009
2222,Pittsburg St,5,39105,7821,2009
2223,Central Mo,6,42151,7025,2009
2224,Northwest Mo St,7,47732,6819,2009
2225,Midwestern St,7,46700,6671,2009
2226,Albany St (GA),5,31431,6286,2009
2227,Angelo St,5,31011,6202,2009
2228,Colorado St-Pueblo,6,37151,6192,2009
2229,Clark Atlanta,5,29530,5906,2009
2230,Washburn,6,33485,5581,2009
2231,Arkansas Tech,6,32860,5477,2009
2232,Tarleton St,6,31890,5315,2009
2233,Delta St,4,20997,5249,2009
2234,West Ga,5,25827,5165,2009
2235,Saginaw Valley,5,25728,5146,2009
2236,Valdosta St,6,30730,5122,2009
2237,Mo Western St,6,30343,5057,2009
2238,West Ala,6,29843,4974,2009
2239,Central Wash,6,29121,4854,2009
2240,Shippensburg,6,28771,4795,2009
2241,Virginia St,5,23413,4683,2009
2242,Mo Southern St,5,23103,4621,2009
2243,St John's (MN),6,49249,8208,2009
2244,Hampden-Sydney,6,28587,4765,2009
2245,Mississippi Col,6,28170,4695,2009
2246,Wis-Whitewater,10,44520,4452,2009
2247,Concordia-M'head,5,21566,4313,2009
2248,Wabash,5,20704,4141,2009
2249,Baldwin-Wallace,5,20540,4108,2009
2250,Otterbein,4,15497,3874,2009
2251,Chris Newport,5,18632,3726,2009
2252,Maryville (TN),5,18370,3674,2009
2253,McDaniel,6,21383,3564,2009
2254,Mount Union,9,32050,3561,2009
2255,Trine,5,17642,3528,2009
2256,Bethel (MN),5,17423,3485,2009
2257,Coe,5,17099,3420,2009
2258,Trinity (CT),4,13533,3383,2009
2259,Grove City,5,16750,3350,2009
2260,Amherst,4,13228,3307,2009
2261,Wittenberg,7,22827,3261,2009
2262,Hardin-Simmons,5,15959,3192,2009
2263,St John Fisher,6,18904,3151,2009
2264,Castleton,4,12474,3119,2009
2265,Wartburg,5,15500,3100,2009
2266,Louisiana Col,5,15435,3087,2009
2267,Mary Hardin-Baylor,5,15122,3024,2009
2268,Wis-Eau Claire,4,11997,2999,2009
2269,Wheaton (IL),5,14965,2993,2009
2270,St Olaf,5,14898,2980,2009
2271,Michigan,7,782776,111825,2010
2272,Ohio St,8,842221,105278,2010
2273,Penn St,7,729636,104234,2010
2274,Alabama,7,712747,101821,2010
2275,Texas,7,704580,100654,2010
2276,Tennessee,7,698465,99781,2010
2277,Georgia,6,556476,92746,2010
2278,LSU,7,649023,92718,2010
2279,Florida,7,633579,90511,2010
2280,Auburn,8,688692,86087,2010
2281,Nebraska,7,599648,85664,2010
2282,Oklahoma,6,508426,84738,2010
2283,Notre Dame,7,565565,80795,2010
2284,Southern California,6,479444,79907,2010
2285,Wisconsin,7,559035,79862,2010
2286,Clemson,7,542280,77469,2010
2287,South Carolina,7,536675,76668,2010
2288,Michigan St,7,514894,73556,2010
2289,Florida St,7,498890,71270,2010
2290,Iowa,7,494095,70585,2010
2291,Arkansas,6,413591,68932,2010
2292,Washington,6,397581,66264,2010
2293,Virginia Tech,7,463631,66233,2010
2294,Kentucky,7,462488,66070,2010
2295,Missouri,6,369240,61540,2010
2296,BYU,6,368283,61381,2010
2297,UCLA,6,362253,60376,2010
2298,Oregon,6,356387,59398,2010
2299,North Carolina,6,349500,58250,2010
2300,Appalachian St,8,205719,25715,2010
2301,Montana,6,152689,25448,2010
2302,Jackson St,5,120698,24140,2010
2303,Old Dominion,7,138474,19782,2010
2304,Delaware,10,177526,17753,2010
2305,Ga Southern,6,105763,17627,2010
2306,Jacksonville St,6,103977,17330,2010
2307,Harvard,5,84589,16918,2010
2308,James Madison,6,99584,16597,2010
2309,North Dakota St,7,111607,15944,2010
2310,Youngstown St,6,90661,15110,2010
2311,South Carolina St,5,74309,14862,2010
2312,Tennessee St,4,59444,14861,2010
2313,Liberty,5,73149,14630,2010
2314,Yale,6,87553,14592,2010
2315,Montana St,7,100089,14298,2010
2316,McNeese St,5,68852,13770,2010
2317,Massachusetts,5,65023,13005,2010
2318,UNI,6,77980,12997,2010
2319,Southern U,5,64481,12896,2010
2320,Texas St,6,76827,12805,2010
2321,Chattanooga,5,63494,12699,2010
2322,Penn,5,59629,11926,2010
2323,Norfolk St,5,59393,11879,2010
2324,Citadel,6,68669,11445,2010
2325,Alcorn St,6,68459,11410,2010
2326,Alabama St,6,67061,11177,2010
2327,Western Ill,6,66573,11096,2010
2328,Morehouse,5,53253,10651,2010
2329,Grand Valley St,7,71061,10152,2010
2330,North Ala,5,50664,10133,2010
2331,Tuskegee,6,59001,9834,2010
2332,Clark Atlanta,5,47202,9440,2010
2333,Winston-Salem,5,46428,9286,2010
2334,Fort Valley St,4,36301,9075,2010
2335,Central Mo,6,53185,8864,2010
2336,Miles,6,52920,8820,2010
2337,Abilene Christian,6,50320,8387,2010
2338,Northwest Mo St,6,47038,7840,2010
2339,Midwestern St,5,38368,7674,2010
2340,Pittsburg St,6,43443,7241,2010
2341,Virginia Union,4,27260,6815,2010
2342,Colorado St-Pueblo,5,30395,6079,2010
2343,Lenoir-Rhyne,6,36057,6010,2010
2344,Saginaw Valley,6,34401,5734,2010
2345,West Ala,5,28002,5600,2010
2346,Stillman,5,27904,5581,2010
2347,Washburn,6,33449,5575,2010
2348,Tarleton St,5,27454,5491,2010
2349,Henderson St,5,27230,5446,2010
2350,Shaw,5,26606,5321,2010
2351,West Ga,6,31509,5252,2010
2352,Arkansas Tech,6,31405,5234,2010
2353,Delta St,7,36493,5213,2010
2354,Albany St (GA),6,30589,5098,2010
2355,Benedict,5,24172,4834,2010
2356,St John's (MN),5,43254,8651,2010
2357,Hampden-Sydney,6,42142,7024,2010
2358,Wis-Whitewater,7,42788,6113,2010
2359,Wabash,5,28943,5789,2010
2360,McDaniel,5,28209,5642,2010
2361,Amherst,4,20270,5068,2010
2362,Trine,5,23918,4784,2010
2363,Mississippi Col,5,22559,4512,2010
2364,Concordia-M'head,5,21673,4335,2010
2365,Baldwin-Wallace,6,25962,4327,2010
2366,Allegheny,4,17214,4304,2010
2367,Otterbein,4,16832,4208,2010
2368,Mount Union,8,32628,4079,2010
2369,Gettysburg,5,19336,3867,2010
2370,Trinity (CT),4,15362,3841,2010
2371,Mary Hardin-Baylor,6,21197,3533,2010
2372,Louisiana Col,5,17300,3460,2010
2373,Hardin-Simmons,5,17266,3453,2010
2374,Grove City,5,17100,3420,2010
2375,Coe,5,16910,3382,2010
2376,Chris Newport,5,16889,3378,2010
2377,SUNY Maritime,5,16750,3350,2010
2378,Wis-Eau Claire,6,19964,3327,2010
2379,St Thomas (MN),8,26005,3251,2010
2380,Dickinson,4,12993,3248,2010
2381,Brockport,5,15940,3188,2010
2382,Pacific Lutheran,4,12658,3165,2010
2383,Capital,5,15486,3097,2010
2384,Bethel (MN),5,15447,3089,2010
2385,Michigan,8,897431,112179,2011
2386,Ohio St,7,736618,105231,2011
2387,Alabama,7,712747,101821,2011
2388,Penn St,7,709991,101427,2011
2389,Texas,6,603142,100524,2011
2390,Tennessee,8,757136,94642,2011
2391,LSU,6,557210,92868,2011
2392,Georgia,6,555676,92613,2011
2393,Florida,7,623429,89061,2011
2394,Auburn,7,600541,85792,2011
2395,Nebraska,7,596871,85267,2011
2396,Oklahoma,6,510967,85161,2011
2397,Notre Dame,6,484770,80795,2011
2398,Wisconsin,7,558692,79813,2011
2399,South Carolina,7,553915,79131,2011
2400,Clemson,7,545713,77959,2011
2401,Florida St,7,544893,77842,2011
2402,Southern California,7,523644,74806,2011
2403,Michigan St,7,518545,74078,2011
2404,Iowa,7,494095,70585,2011
2405,Arkansas,7,468933,66990,2011
2406,Virginia Tech,6,397398,66233,2011
2407,Washington,7,437715,62531,2011
2408,Missouri,6,372571,62095,2011
2409,BYU,7,421858,60265,2011
2410,Kentucky,7,420052,60007,2011
2411,Oregon,8,474753,59344,2011
2412,Arizona St,7,413051,59007,2011
2413,Oklahoma St,6,343376,57229,2011
2414,Appalachian St,7,183479,26211,2011
2415,James Madison,5,125010,25002,2011
2416,Montana,8,199023,24878,2011
2417,Yale,5,118648,23730,2011
2418,Jackson St,6,138996,23166,2011
2419,Old Dominion,7,138726,19818,2011
2420,Delaware,6,114111,19019,2011
2421,South Alabama,6,110654,18442,2011
2422,North Dakota St,9,163284,18143,2011
2423,Ga Southern,8,141605,17701,2011
2424,Jacksonville St,5,86128,17226,2011
2425,Montana St,7,119499,17071,2011
2426,South Carolina St,5,82302,16460,2011
2427,Liberty,6,98515,16419,2011
2428,Norfolk St,5,75855,15171,2011
2429,Lamar,6,86655,14443,2011
2430,Georgia St,6,85713,14286,2011
2431,Tennessee St,4,57117,14279,2011
2432,Youngstown St,6,82867,13811,2011
2433,Southern U,4,54716,13679,2011
2434,UNI,6,79132,13189,2011
2435,Citadel,6,76758,12793,2011
2436,Harvard,5,63535,12707,2011
2437,McNeese St,6,73358,12226,2011
2438,Alabama St,5,60655,12131,2011
2439,South Dakota St,5,60527,12105,2011
2440,Furman,5,55320,11064,2011
2441,Morehouse,3,35139,11713,2011
2442,Tuskegee,4,45832,11458,2011
2443,Grand Valley St,6,62868,10478,2011
2444,Miles,5,50940,10188,2011
2445,North Ala,5,49169,9834,2011
2446,Central Mo,5,47789,9558,2011
2447,Pittsburg St,8,69256,8657,2011
2448,Winston-Salem,7,59842,8549,2011
2449,Fort Valley St,4,31847,7962,2011
2450,Albany St (GA),4,31128,7782,2011
2451,Midwestern St,5,38499,7700,2011
2452,Colorado St-Pueblo,7,51481,7354,2011
2453,Northwest Mo St,5,36544,7309,2011
2454,Lenoir-Rhyne,4,28900,7225,2011
2455,Clark Atlanta,4,28184,7046,2011
2456,Abilene Christian,5,34955,6991,2011
2457,Benedict,5,34312,6862,2011
2458,Kentucky St,5,33563,6713,2011
2459,Saginaw Valley,5,32864,6573,2011
2460,Delta St,7,43601,6229,2011
2461,Slippery Rock,5,30017,6003,2011
2462,Washburn,6,35855,5976,2011
2463,Mo Western St,7,40551,5793,2011
2464,Humboldt St,4,22877,5719,2011
2465,West Ala,7,39948,5707,2011
2466,Arkansas Tech,5,28180,5636,2011
2467,Northeastern St,5,27206,5441,2011
2468,Valdosta St,5,27087,5417,2011
2469,Hampden-Sydney,5,39987,7997,2011
2470,Wis-Whitewater,9,46575,5175,2011
2471,Randolph-Macon,5,25844,5169,2011
2472,Concordia-M'head,5,23426,4685,2011
2473,Chris Newport,5,22560,4512,2011
2474,Wartburg,5,22500,4500,2011
2475,Trine,5,20738,4148,2011
2476,Baldwin-Wallace,6,24127,4021,2011
2477,McDaniel,6,23837,3973,2011
2478,Mississippi Col,5,19660,3932,2011
2479,Wis-Eau Claire,4,15463,3866,2011
2480,Louisiana Col,7,25752,3679,2011
2481,DePauw,3,11015,3672,2011
2482,St Thomas (MN),8,29306,3663,2011
2483,Wabash,7,25560,3651,2011
2484,Coe,4,14273,3568,2011
2485,Geneva,5,17620,3524,2011
2486,Bethel (MN),5,17571,3514,2011
2487,Mount Union,10,33766,3377,2011
2488,Wooster,5,16865,3373,2011
2489,Trinity (CT),4,13200,3300,2011
2490,Grove City,5,16350,3270,2011
2491,Hanover,5,16303,3261,2011
2492,Dickinson,5,15957,3191,2011
2493,Wesleyan (CT),4,12454,3114,2011
2494,Wittenberg,5,15560,3112,2011
2495,Maryville (TN),5,15239,3048,2011
2496,Adrian,4,12145,3036,2011
2497,Michigan,6,673511,112252,2012
2498,Ohio St,8,842637,105330,2012
2499,Alabama,7,712052,101722,2012
2500,Texas,6,605304,100884,2012
2501,Penn St,7,677108,96730,2012
2502,Georgia,7,648922,92703,2012
2503,LSU,8,741005,92626,2012
2504,Tennessee,7,629752,89965,2012
2505,Southern California,6,527670,87945,2012
2506,Florida,7,613182,87597,2012
2507,Nebraska,7,598617,85517,2012
2508,Oklahoma,6,511460,85243,2012
2509,Auburn,7,578521,82646,2012
2510,Clemson,7,569988,81427,2012
2511,Notre Dame,6,484770,80795,2012
2512,Wisconsin,7,560039,80006,2012
2513,South Carolina,7,560008,80001,2012
2514,Florida St,7,529208,75601,2012
2515,Michigan St,7,527671,75382,2012
2516,Iowa,7,493315,70474,2012
2517,UCLA,7,479370,68481,2012
2518,Arkansas,7,476321,68046,2012
2519,Missouri,7,472333,67476,2012
2520,Virginia Tech,6,393792,65632,2012
2521,BYU,6,366965,61161,2012
2522,Washington,6,351699,58617,2012
2523,Oregon,7,402429,57490,2012
2524,Texas Tech,6,343251,57209,2012
2525,Ole Miss,7,399462,57066,2012
2526,Appalachian St,7,184505,26358,2012
2527,Montana,6,151417,25236,2012
2528,James Madison,6,136699,22783,2012
2529,Old Dominion,8,160294,20037,2012
2530,Delaware,7,129792,18542,2012
2531,North Dakota St,9,166641,18516,2012
2532,Ga Southern,7,129412,18487,2012
2533,Montana St,8,141016,17627,2012
2534,Southern U,4,66409,16602,2012
2535,Tennessee St,5,82932,16586,2012
2536,Liberty,6,97910,16318,2012
2537,South Carolina St,4,64714,16179,2012
2538,Jacksonville St,5,80032,16006,2012
2539,Alabama St,5,77568,15514,2012
2540,Jackson St,4,57847,14462,2012
2541,Youngstown St,6,84229,14038,2012
2542,Citadel,5,67872,13574,2012
2543,Norfolk St,5,64489,12898,2012
2544,Yale,5,62266,12453,2012
2545,Georgia St,6,73853,12309,2012
2546,Alcorn,6,73446,12241,2012
2547,McNeese St,5,60184,12037,2012
2548,UNI,5,59526,11905,2012
2549,South Dakota St,6,71056,11843,2012
2550,Harvard,6,69118,11520,2012
2551,Lamar,6,66713,11119,2012
2552,NC Central,4,42651,10663,2012
2553,Penn,5,50572,10114,2012
2554,Grand Valley St,5,60169,12034,2012
2555,Miles,6,66702,11117,2012
2556,Tuskegee,4,43477,10869,2012
2557,Kentucky St,5,52670,10534,2012
2558,Pittsburg St,5,50276,10055,2012
2559,North Ala,5,48991,9798,2012
2560,Morehouse,4,36401,9100,2012
2561,Clark Atlanta,5,44139,8828,2012
2562,Albany St (GA),3,25552,8517,2012
2563,Colorado St-Pueblo,7,55143,7878,2012
2564,Central Mo,5,38577,7715,2012
2565,Winston-Salem,7,53986,7712,2012
2566,Northwest Mo St,6,45840,7640,2012
2567,Fort Valley St,4,27448,6862,2012
2568,Benedict,4,26954,6739,2012
2569,Saginaw Valley,6,40103,6684,2012
2570,Abilene Christian,5,33077,6615,2012
2571,Midwestern St,4,26164,6541,2012
2572,Henderson St,6,38612,6435,2012
2573,Angelo St,6,37579,6263,2012
2574,Lenoir-Rhyne,6,36789,6132,2012
2575,Slippery Rock,6,35444,5907,2012
2576,Washburn,6,34971,5829,2012
2577,Tarleton St,5,27246,5449,2012
2578,Virginia Union,5,26790,5358,2012
2579,Arkansas Tech,7,37054,5293,2012
2580,Emporia St,5,25585,5117,2012
2581,Humboldt St,6,29079,4847,2012
2582,Saint John's (MN),5,39741,7948,2012
2583,Wis-Whitewater,5,37760,7552,2012
2584,Hampden-Sydney,5,33617,6723,2012
2585,Wabash,5,24363,4873,2012
2586,Concordia-M'head,5,24197,4839,2012
2587,Geneva,4,19166,4792,2012
2588,Chris Newport,5,23642,4728,2012
2589,Trinity (CT),4,18262,4566,2012
2590,Wis-Platteville,5,21160,4232,2012
2591,Trine,5,20532,4106,2012
2592,McDaniel,4,16423,4106,2012
2593,Baldwin Wallace,5,19400,3880,2012
2594,Maryville (TN),5,19256,3851,2012
2595,Bethel (MN),5,19192,3838,2012
2596,Louisiana Col,5,18820,3764,2012
2597,Mississippi Col,4,15011,3753,2012
2598,North Central (IL),5,18306,3661,2012
2599,Rowan,4,14263,3566,2012
2600,Gettysburg,5,17812,3562,2012
2601,Mount Union,8,28272,3534,2012
2602,Ohio Wesleyan,5,17211,3442,2012
2603,St Olaf,4,13664,3416,2012
2604,Gust Adolphus,5,16713,3343,2012
2605,Randolph-Macon,5,16389,3278,2012
2606,Wartburg,5,16252,3250,2012
2607,Mary Hardin-Baylor,7,22388,3198,2012
2608,Grove City,5,15750,3150,2012
2609,Amherst,4,12215,3054,2012
2610,Norwich,4,12050,3013,2012
2611,Michigan,7,781144,111592,2013
2612,Ohio St,7,734528,104933,2013
2613,Alabama,7,710538,101505,2013
2614,Texas,6,593857,98976,2013
2615,Penn St,7,676112,96587,2013
2616,Tennessee,7,669087,95584,2013
2617,Georgia,6,556476,92746,2013
2618,LSU,7,639927,91418,2013
2619,Nebraska,8,727466,90933,2013
2620,Florida,6,524638,87440,2013
2621,Auburn,8,685252,85657,2013
2622,Oklahoma,6,508334,84722,2013
2623,South Carolina,7,576805,82401,2013
2624,Clemson,7,574333,82048,2013
2625,Notre Dame,6,484770,80795,2013
2626,Wisconsin,7,552378,78911,2013
2627,Florida St,7,527947,75421,2013
2628,Southern California,7,511885,73126,2013
2629,Michigan St,7,506294,72328,2013
2630,UCLA,6,421711,70285,2013
2631,Washington,7,481384,68769,2013
2632,Iowa,7,469872,67125,2013
2633,Virginia Tech,6,383993,63999,2013
2634,Missouri,7,444532,63505,2013
2635,Arizona St,8,501509,62689,2013
2636,Arkansas,7,431174,61596,2013
2637,BYU,6,367349,61225,2013
2638,Kentucky,7,416303,59472,2013
2639,Ole Miss,7,415750,59393,2013
2640,Appalachian St,6,149366,24894,2013
2641,Montana,7,170660,24380,2013
